city,state,Correction,Census_Name,State
Arnold,NE,No close match found,,
Dalzell,SC,Correction needed,Dalzell CDP, South Carolina
Brea,CA,No close match found,,
Georgetown,TX,Correction needed,Georgetown city, Texas
Clarkdale,AZ,Correction needed,Clarkdale town, Arizona
Lakeville,MN,Correction needed,Lakeville city, Minnesota
Moses Lake,WA,Correction needed,Moses Lake city, Washington
Mocksville,NC,Correction needed,Mocksville town, North Carolina
Cloverleaf,TX,Correction needed,Cloverleaf CDP, Texas
Sherman,TX,Correction needed,Sherman city, Texas
Keithville,LA,No close match found,,
Riverside,WA,Correction needed,Riverside town, Washington
Miami-Dade,FL,No close match found,,
Ariton,AL,Correction needed,Ariton town, Alabama
Edison,CA,Correction needed,Edison CDP, California
Harrison Township,OH,Correction needed,Harrison city, Ohio
Backus,MN,Correction needed,Backus city, Minnesota
Humble,TX,Correction needed,Humble city, Texas
Elmendorf,TX,Correction needed,Elmendorf city, Texas
Anchor Point,AK,Correction needed,Anchor Point CDP, Alaska
Elkton,FL,Correction needed,Welaka town, Florida
Potomac,MD,Correction needed,Potomac CDP, Maryland
Mufreesboro,TN,Correction needed,Murfreesboro city, Tennessee
New Kensington,PA,Correction needed,New Kensington city, Pennsylvania
Claremore,OK,Correction needed,Claremore city, Oklahoma
Chase City,VA,Correction needed,Chase City town, Virginia
Lewistown,MT,Correction needed,Lewistown city, Montana
Myerstown,PA,No close match found,,
Mecklenburg,VA,No close match found,,
Webster City,IA,No correction,Webster city, Iowa
Orchard Mesa,CO,Correction needed,Orchard Mesa CDP, Colorado
Iota,LA,No close match found,,
Port Jervis,NY,Correction needed,Port Jervis city, New York
Wheeling,MO,Correction needed,Wheeling city, Missouri
Cuthbert,GA,Correction needed,Cuthbert city, Georgia
Franklin County,TN,Correction needed,Franklin city, Tennessee
Taylorsville,UT,Correction needed,Taylorsville city, Utah
Mojave,CA,Correction needed,Mojave CDP, California
WInston Salem,NC,Correction needed,Winston-Salem city, North Carolina
London,AR,Correction needed,London city, Arkansas
Linwood,NC,No close match found,,
Ormond Beach,FL,Correction needed,Ormond Beach city, Florida
Lehigh Acres,FL,Correction needed,Lehigh Acres CDP, Florida
Newburgh,NY,Correction needed,Newburgh city, New York
Buchanan,VA,Correction needed,Buchanan town, Virginia
Gray,KY,No close match found,,
Hinton,VA,No close match found,,
Manchester,CT,Correction needed,Manchester CDP, Connecticut
Lincoln CIty,OR,Correction needed,Lincoln City city, Oregon
Nutter Fort,WV,Correction needed,Nutter Fort town, West Virginia
Milford,MA,Correction needed,Milford CDP, Massachusetts
North Miami Beach,FL,Correction needed,North Miami Beach city, Florida
Florence,AL,Correction needed,Florence city, Alabama
Refugio,TX,Correction needed,Refugio town, Texas
Caddo Parish,LA,No close match found,,
Clinton,IA,Correction needed,Clinton city, Iowa
El Mirage,AZ,Correction needed,El Mirage city, Arizona
Columbia,SC,Correction needed,Columbia city, South Carolina
Brandon,CO,Correction needed,Brandon CDP, Colorado
Winchester,TN,Correction needed,Winchester city, Tennessee
Colonial Heights,VA,Correction needed,Colonial Heights city, Virginia
West Terre Haute,IN,Correction needed,West Terre Haute town, Indiana
Ritzville,WA,Correction needed,Ritzville city, Washington
Daly City,CA,Correction needed,Albany city, California
Lamont,CA,Correction needed,Lamont CDP, California
Blair,NE,No close match found,,
Hubert,NC,No close match found,,
Philipsburg,MT,Correction needed,Philipsburg town, Montana
Anderson,SC,Correction needed,Anderson city, South Carolina
Daphne,AL,Correction needed,Daphne city, Alabama
Raytown,MO,Correction needed,Raytown city, Missouri
Springfield,CO,Correction needed,Springfield town, Colorado
Hiram,ME,No close match found,,
Adel,GA,No close match found,,
Hogansville,GA,Correction needed,Hogansville city, Georgia
La Plata,MD,Correction needed,La Plata town, Maryland
Wayne,NJ,No close match found,,
Jeffersonville,IN,Correction needed,Jeffersonville city, Indiana
Madera County,CA,Correction needed,Madera city, California
Martin County,KY,Correction needed,Martin city, Kentucky
Portland,IN,Correction needed,Portland city, Indiana
Sterling,CO,Correction needed,Sterling city, Colorado
Oakland City,IN,Correction needed,Oakland City city, Indiana
Caldwell County,NC,No close match found,,
Monterey Park,CA,Correction needed,Monterey Park city, California
Half Moon Bay,CA,Correction needed,Half Moon Bay city, California
Webster Groves,MO,Correction needed,Webster Groves city, Missouri
Calypso,NC,Correction needed,Calypso town, North Carolina
Idaho Springs,CO,Correction needed,Idaho Springs city, Colorado
Claxton,GA,Correction needed,Claxton city, Georgia
Laguna Niguel,CA,Correction needed,Laguna Niguel city, California
Union Township,OH,No close match found,,
Oxford,MS,Correction needed,Oxford city, Mississippi
Greenville,GA,Correction needed,Greenville city, Georgia
Germantown,TN,Correction needed,Germantown city, Tennessee
Suring,WI,No close match found,,
St. Francis County,AR,Correction needed,St. Francis city, Arkansas
Sale Creek,TN,Correction needed,Sale Creek CDP, Tennessee
Chunchula,AL,Correction needed,Chunchula CDP, Alabama
Atmore,AL,Correction needed,Atmore city, Alabama
Viera,FL,No close match found,,
Greenwood,SC,Correction needed,Greenwood city, South Carolina
Bell County,KY,No close match found,,
Bass River,NJ,No close match found,,
Flathead County,MT,No close match found,,
Bulls Gap,TN,Correction needed,Bulls Gap town, Tennessee
Manlius,NY,No close match found,,
Jamestown,CA,Correction needed,Jamestown CDP, California
Luverne,AL,Correction needed,Luverne city, Alabama
Wilburton,OK,Correction needed,Wilburton city, Oklahoma
Geneseo,NY,No close match found,,
Jefferson Parish,LA,Correction needed,Jefferson CDP, Louisiana
North Little Rock,AR,Correction needed,North Little Rock city, Arkansas
Washington County,OR,No close match found,,
Temple Terrace,FL,Correction needed,Temple Terrace city, Florida
Fountain,FL,No close match found,,
Watertown,WI,Correction needed,Watertown city, Wisconsin
Alexander,AR,Correction needed,Alexander city, Arkansas
Poteau,OK,Correction needed,Poteau city, Oklahoma
Socorro,TX,Correction needed,Socorro city, Texas
Mustang,OK,Correction needed,Mustang city, Oklahoma
Clarkrange,TN,Correction needed,Clarkrange CDP, Tennessee
New Rochelle,NY,Correction needed,New Rochelle city, New York
Adrian,MO,Correction needed,Adrian city, Missouri
Industry,CA,Correction needed,Industry city, California
East Northport,NY,Correction needed,East Northport CDP, New York
Bigfork,MT,Correction needed,Bigfork CDP, Montana
Weippe,ID,Correction needed,Weippe city, Idaho
Paso Robles,CA,No close match found,,
DeKalb County,TN,No close match found,,
Crown Point,IN,Correction needed,Crown Point city, Indiana
Lawrence,KS,Correction needed,Lawrence city, Kansas
Beach Park,IL,Correction needed,Beach Park village, Illinois
Collinsville,MS,Correction needed,Collinsville CDP, Mississippi
Kennard,IN,Correction needed,Kennard town, Indiana
Lovelock,NV,Correction needed,Lovelock city, Nevada
Rosamond,CA,Correction needed,Rosamond CDP, California
Sodus,NY,No close match found,,
Jay,OK,No close match found,,
Milpitas,CA,Correction needed,Milpitas city, California
Giddings,TX,Correction needed,Giddings city, Texas
Palm Desert,CA,Correction needed,Palm Desert city, California
Lake Forest,CA,Correction needed,Lake Forest city, California
Vinita,OK,Correction needed,Vinita city, Oklahoma
Cumberland County,TN,No close match found,,
Port Richey,FL,Correction needed,Port Richey city, Florida
Hebron,KY,Correction needed,Hebron CDP, Kentucky
Hazleton,PA,Correction needed,Hazleton city, Pennsylvania
Paducah,KY,Correction needed,Paducah city, Kentucky
Durango,CO,Correction needed,Durango city, Colorado
Welches,OR,No close match found,,
Smithfield Township,PA,Correction needed,Smithfield borough, Pennsylvania
Etowah,TN,Correction needed,Etowah city, Tennessee
Pascagoula,MS,Correction needed,Pascagoula city, Mississippi
Forksville,PA,Correction needed,Forksville borough, Pennsylvania
Leesburg,GA,Correction needed,Leesburg city, Georgia
Butler Township,OH,No close match found,,
Chaska,MN,Correction needed,Chaska city, Minnesota
Rockwood,TN,Correction needed,Rockwood city, Tennessee
Morris Township,NJ,No close match found,,
Delta Township,MI,No close match found,,
Shepherdsville,KY,Correction needed,Shepherdsville city, Kentucky
Knox County,TX,No close match found,,
North Fort Myers,FL,Correction needed,North Fort Myers CDP, Florida
Shoreline,WA,Correction needed,Shoreline city, Washington
Fruita,CO,Correction needed,Fruita city, Colorado
Chicago Heights,IL,Correction needed,Chicago Heights city, Illinois
Roxboro,NC,Correction needed,Roxboro city, North Carolina
West Kendall,FL,No close match found,,
The Village,OK,Correction needed,The Village city, Oklahoma
Carmel,IN,Correction needed,Carmel city, Indiana
Bothell,WA,Correction needed,Bothell city, Washington
Brunswick,OH,Correction needed,Brunswick city, Ohio
Mooresville,NC,Correction needed,Mooresville town, North Carolina
Sarasota,FL,Correction needed,Sarasota city, Florida
Culver City,CA,Correction needed,Culver City city, California
James Island,SC,Correction needed,James Island town, South Carolina
Port Orchard,WA,Correction needed,Port Orchard city, Washington
Warren,OH,Correction needed,Warren city, Ohio
Sylvania,GA,Correction needed,Sylvania city, Georgia
St. Charles County,MO,Correction needed,St. Charles city, Missouri
Dover,FL,Correction needed,Dover CDP, Florida
Holladay,UT,Correction needed,Holladay city, Utah
St. Croix Falls,WI,Correction needed,St. Croix Falls city, Wisconsin
Robbins,NC,Correction needed,Robbins town, North Carolina
Rogers County,OK,No close match found,,
North Miami,FL,Correction needed,North Miami city, Florida
Dania Beach,FL,Correction needed,Dania Beach city, Florida
Franklin,GA,Correction needed,Franklin city, Georgia
Marion County,FL,No close match found,,
Dos Palos,CA,Correction needed,Dos Palos city, California
Maury County,TN,No close match found,,
Weslaco,TX,Correction needed,Weslaco city, Texas
Avon Park,FL,Correction needed,Avon Park city, Florida
Pollocksville,NC,Correction needed,Pollocksville town, North Carolina
Cumberland County,NC,No close match found,,
Bay City,TX,Correction needed,Barry city, Texas
San Benito,TX,Correction needed,San Benito city, Texas
Chickamauga,GA,Correction needed,Chickamauga city, Georgia
Nipomo,CA,Correction needed,Nipomo CDP, California
Belcourt,ND,Correction needed,Belcourt CDP, North Dakota
Lincoln County,NC,No close match found,,
Rancho Cucamonga,CA,Correction needed,Rancho Cucamonga city, California
Eckford Township,MI,No close match found,,
Knox County,KY,No close match found,,
Holly Hill,FL,Correction needed,Holly Hill city, Florida
Loma,CO,No close match found,,
Aztec,NM,No close match found,,
Bettendorf,IA,Correction needed,Bettendorf city, Iowa
California City,CA,Correction needed,California City city, California
Lucerne,CA,Correction needed,Lucerne CDP, California
Spruce Pine,NC,Correction needed,Spruce Pine town, North Carolina
Summerlin,NV,No close match found,,
McCracken County,KY,No close match found,,
Moscow,TN,Correction needed,Moscow city, Tennessee
Henderson County,NC,Correction needed,Henderson city, North Carolina
Norcross,GA,Correction needed,Norcross city, Georgia
West Sacramento,CA,Correction needed,West Sacramento city, California
Bountiful,UT,Correction needed,Bountiful city, Utah
Midvale,UT,Correction needed,Midvale city, Utah
Brunswick,GA,Correction needed,Brunswick city, Georgia
Redmond,WA,Correction needed,Redmond city, Washington
Nogales,AZ,Correction needed,Nogales city, Arizona
Geneseo,IL,Correction needed,Geneseo city, Illinois
San Clemente,CA,Correction needed,San Clemente city, California
Airway Heights,WA,Correction needed,Airway Heights city, Washington
Whitehall,LA,No close match found,,
Templeton,CA,Correction needed,Templeton CDP, California
Avondale,LA,Correction needed,Avondale CDP, Louisiana
Manhattan,KS,Correction needed,Manhattan city, Kansas
Whitby,WV,No close match found,,
Madison Heights,MI,Correction needed,Madison Heights city, Michigan
Wolfe City,TX,Correction needed,Olney city, Texas
West Carson,CA,Correction needed,West Carson CDP, California
Hilliard,FL,Correction needed,Hilliard town, Florida
Wabash,IN,Correction needed,Wabash city, Indiana
Palm City,FL,Correction needed,Palm Bay city, Florida
Pine County,MN,No close match found,,
Bethel Springs,TN,Correction needed,Bethel Springs town, Tennessee
Frostproof,FL,Correction needed,Frostproof city, Florida
Cookson,OK,Correction needed,Cookson CDP, Oklahoma
Clearfield,PA,Correction needed,Clearfield borough, Pennsylvania
Riesel,TX,Correction needed,Riesel city, Texas
Wood County,WV,No close match found,,
Muhlenberg County,KY,No close match found,,
Laguna,NM,Correction needed,Laguna CDP, New Mexico
Catoosa County,GA,No close match found,,
Tooele,UT,Correction needed,Tooele city, Utah
Thornton,NH,No close match found,,
Emmitsburg,MD,Correction needed,Emmitsburg town, Maryland
Coram,NY,Correction needed,Coram CDP, New York
South Milwaukee,WI,Correction needed,South Milwaukee city, Wisconsin
Perdido Key,FL,No close match found,,
Elmwood Place,OH,Correction needed,Elmwood Place village, Ohio
Roane County,WV,No close match found,,
Eagle River,AK,No close match found,,
Loma Linda,CA,Correction needed,Loma Linda city, California
Huntsville,UT,Correction needed,Huntsville town, Utah
Goodman,WI,Correction needed,Goodman CDP, Wisconsin
Garden City,MO,Correction needed,Bogard city, Missouri
Lawrenceburg,IN,Correction needed,Lawrenceburg city, Indiana
Citrus Heighs,CA,Correction needed,Citrus Heights city, California
Herriman,UT,Correction needed,Herriman city, Utah
Lake Worth,FL,No close match found,,
Trigg County,KY,No close match found,,
Hazel Dell,WA,Correction needed,Hazel Dell CDP, Washington
Maryville,TN,Correction needed,Maryville city, Tennessee
Kenwood,OK,Correction needed,Kenwood CDP, Oklahoma
Seymour,IN,Correction needed,Seymour city, Indiana
Winchester,MA,Correction needed,Winchester CDP, Massachusetts
New Port Richey,FL,Correction needed,New Port Richey city, Florida
Jefferson County,TX,Correction needed,Jefferson city, Texas
Lewistown,IL,Correction needed,Lewistown city, Illinois
Fort Carson,CO,Correction needed,Fort Carson CDP, Colorado
Crestview,FL,Correction needed,Crestview city, Florida
El Centro,TX,No close match found,,
Ventura,CA,No close match found,,
Village of Oak Creek,AZ,Correction needed,Village of Oak Creek (Big Park) CDP, Arizona
Lilburn,GA,Correction needed,Lilburn city, Georgia
Kingston Springs,TN,Correction needed,Kingston Springs town, Tennessee
Santa Fe Springs,CA,Correction needed,Santa Fe Springs city, California
Fort Defiance,AZ,Correction needed,Fort Defiance CDP, Arizona
New Lyme Township,OH,No close match found,,
Lanham,MD,Correction needed,Lanham CDP, Maryland
Oildale,CA,Correction needed,Oildale CDP, California
Nederland,TX,Correction needed,Nederland city, Texas
Stillwater County,MT,No close match found,,
Meredith,NH,Correction needed,Meredith CDP, New Hampshire
Batesville,IN,Correction needed,Batesville city, Indiana
Laurel,MD,Correction needed,Laurel city, Maryland
